[STEP-START] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=load_previous_mappings message="load previous mappings"
[STEP-DONE] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=load_previous_mappings elapsed_ms=0 message="previous mappings loaded"
[STEP-START] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=fetch_shopify_variants message="fetch Shopify DOBA variants"
[PROGRESS] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=fetch_shopify_variants step=2/6 item=13048/13048 percent=100% ok=13048 skipped=0 failed=0 message="shopify variants fetched"
[STEP-DONE] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=fetch_shopify_variants elapsed_ms=107076 message="shopify variants fetched"
[STEP-START] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=fetch_doba_candidates message="fetch Doba by Shopify candidate SKUs"
[PROGRESS] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=fetch_doba_candidates step=3/6 item=13048/13048 percent=100% ok=13048 skipped=0 failed=0 message="doba candidate lookup finished"
[STEP-DONE] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=fetch_doba_candidates elapsed_ms=1313741 message="doba candidate lookup finished"
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=79/13048 doba_sku=D0102HHR7DP shopify_variant_id=gid://shopify/ProductVariant/51357930357042 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=80/13048 doba_sku=D0102HHR7NJ shopify_variant_id=gid://shopify/ProductVariant/51357931569458 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=81/13048 doba_sku=D0102HHR5XX shopify_variant_id=gid://shopify/ProductVariant/51357932290354 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=82/13048 doba_sku=D0102HHR5SJ shopify_variant_id=gid://shopify/ProductVariant/51357933273394 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=83/13048 doba_sku=D0102HHR5V2 shopify_variant_id=gid://shopify/ProductVariant/51357935599922 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=84/13048 doba_sku=D0102HHR5UP shopify_variant_id=gid://shopify/ProductVariant/51357935993138 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=85/13048 doba_sku=D0102HHRRXJ shopify_variant_id=gid://shopify/ProductVariant/51357936386354 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=86/13048 doba_sku=D0102HHP5PP shopify_variant_id=gid://shopify/ProductVariant/51357936845106 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=87/13048 doba_sku=D0102HHPECP shopify_variant_id=gid://shopify/ProductVariant/51357948641586 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=88/13048 doba_sku=D0102HHPECJ shopify_variant_id=gid://shopify/ProductVariant/51357948870962 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=89/13048 doba_sku=D0102HHPEC8 shopify_variant_id=gid://shopify/ProductVariant/51357950411058 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=90/13048 doba_sku=D0102HHPEB6 shopify_variant_id=gid://shopify/ProductVariant/51357952016690 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=91/13048 doba_sku=D0102HHPE1P shopify_variant_id=gid://shopify/ProductVariant/51357952901426 status=active reason_code=matched_by_exact_sku
